"filename", "language", "Groovy", "Java", "comment", "blank", "total"
"d:\javaProjects\GravityEngine\common\build.gradle", "Groovy", 26, 0, 4, 7, 37
"d:\javaProjects\GravityEngine\common\settings.gradle", "Groovy", 1, 0, 0, 2, 3
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\api\field\GravityField.java", "Java", 0, 4, 24, 3, 31
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\api\field\GravityFieldBounds.java", "Java", 0, 32, 13, 3, 48
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\api\field\GravityFieldCompositionMode.java", "Java", 0, 5, 24, 4, 33
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\api\field\GravityFieldQuery.java", "Java", 0, 60, 11, 14, 85
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\api\field\GravityFieldSample.java", "Java", 0, 18, 11, 7, 36
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\api\field\GravityFields.java", "Java", 0, 93, 84, 12, 189
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\api\field\GravityInfluenceVolume.java", "Java", 0, 7, 16, 6, 29
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\api\field\package-info.java", "Java", 0, 1, 35, 1, 37
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\api\math\Vec3d.java", "Java", 0, 139, 21, 26, 186
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\api\math\package-info.java", "Java", 0, 1, 7, 1, 9
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\AngularTrajectory.java", "Java", 0, 313, 25, 31, 369
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\AttitudeSpaceTransform.java", "Java", 0, 295, 107, 39, 441
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\BodyAttitudeConfigSnapshot.java", "Java", 0, 160, 3, 4, 167
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\BodyAttitudeConstraintKind.java", "Java", 0, 6, 9, 2, 17
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\BodyAttitudeControlAuthority.java", "Java", 0, 33, 13, 9, 55
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\BodyAttitudeControlProfile.java", "Java", 0, 20, 3, 4, 27
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\BodyAttitudeController.java", "Java", 0, 411, 97, 80, 588
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\BodyAttitudeInput.java", "Java", 0, 30, 10, 6, 46
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\BodyAttitudeMath.java", "Java", 0, 205, 14, 38, 257
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\BodyAttitudePlayerState.java", "Java", 0, 18, 9, 2, 29
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\BodyAttitudeState.java", "Java", 0, 110, 14, 19, 143
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\BodyAttitudeStepContext.java", "Java", 0, 39, 1, 12, 52
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\BodyAttitudeStepResult.java", "Java", 0, 45, 4, 8, 57
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\BodyLookControlSample.java", "Java", 0, 8, 2, 3, 13
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\BodyLookResolver.java", "Java", 0, 12, 1, 3, 16
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\BodyRelativeViewState.java", "Java", 0, 151, 31, 24, 206
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\BodyViewConstraintSolver.java", "Java", 0, 57, 8, 8, 73
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\SemanticView.java", "Java", 0, 33, 7, 9, 49
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\runtime\BodyAttitudeActivationPolicy.java", "Java", 0, 15, 1, 7, 23
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\runtime\BodyAttitudeContinuity.java", "Java", 0, 6, 1, 2, 9
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\runtime\BodyAttitudeControlPolicyResolver.java", "Java", 0, 49, 6, 9, 64
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\runtime\BodyAttitudeDecision.java", "Java", 0, 52, 8, 10, 70
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\runtime\BodyAttitudeLookRebase.java", "Java", 0, 11, 6, 2, 19
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\runtime\BodyAttitudeOwnership.java", "Java", 0, 5, 1, 2, 8
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\runtime\BodyAttitudeSuspensionLookPolicy.java", "Java", 0, 14, 8, 4, 26
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\attitude\runtime\BodyAttitudeSuspensionReason.java", "Java", 0, 18, 1, 2, 21
